ID;Cultivar;Resistance;Scale;Country
1;Kufri Alankar;mr;6;India
2;Kufri Anand;mr;6;India
3;Kufri Arun;mr;6;India
4;Kufri Ashoka;s;8;India
5;Kufri Badshah;r;3;India
6;Kufri Bahar;s;8;India
7;Kufri Chamatkar;s;8;India
8;Kufri Chandramukhi;s;8;India
9;Kufri Chipsona-1;r;3;India
10;Kufri Chipsona-2;r;3;India
11;Kufri Chipsona-3;r;3;India
12;Kufri Chipsona-4;mr;6;India
13;Kufri Dewa;s;8;India
14;Kufri Frysona;mr;6;India
15;Kufri Garima;mr;6;India
16;Kufri Gaurav;s;8;India
17;Kufri Girdhari;hr;1;India
18;Kufri Giriraj;mr;6;India
19;Kufri Himalini;mr;6;India
20;Kufri Himsona;mr;6;India
21;Kufri Jawahar;mr;6;India
22;Kufri Jeevan;mr;6;India
23;Kufri Jyoti;mr;6;India
24;Kufri Kanchan;mr;6;India
25;Kufri Khasigaro;mr;6;India
26;Kufri Khyati;mr;6;India
27;Kufri Kuber;s;8;India
28;Kufri Kumar;mr;6;India
29;Kufri Kundan;mr;6;India
30;Kufri Lalima;s;8;India
31;Kufri Lalit;mr;6;India
32;Kufri Lauvkar;s;8;India
33;Kufri Megha;r;3;India
34;Kufri Muthu;mr;6;India
35;Kufri Naveen;mr;6;India
36;Kufri Neela;mr;6;India
37;Kufri Neelima;r;3;India
38;Kufri Pukhraj;mr;6;India
39;Kufri Pushkar;r;3;India
40;Kufri Red;s;8;India
41;Kufri Sadabahar;mr;6;India
42;Kufri Safed;s;8;India
43;Kufri Shailja;mr;6;India
44;Kufri Sheetman;mr;6;India
45;Kufri Sherpa;r;3;India
46;Kufri Sindhuri;s;8;India
47;Kufri Surya;s;8;India
48;Kufri Sutlej;mr;6;India
49;Kufri Swarna;r;3;India
